2001270199,serve;do #wash V
1107697100,sandwich;thing;food #hamburger N
1007873807,dish;thing;food #pizza N
1005737153,evaluation;thing #score N
1003614007,device;thing #keyboard N
1014915622,ice;thing #frost N
1003880531,cooking_utensil;thing #pan N
3002406908,adj #nervous J
1011501381,precipitation;thing #rainfall N
3002541302,adj;feelings #sick J
1002317335,echinoderm;thing;living_thing #starfish N
1007734017,solanaceous_vegetable;thing;food #tomato N
2101121719,attack;do #charge V
1010432441,wayfarer;thing #pilgrim N
1010655594,attendant;thing;living_thing;person #flight_attendant N
1009078231,american_state;thing #Hawaii N
1003686130,floor;thing;place #attic N
1003329663,boat;thing #ferry N
1002854926,top;thing #blouse N
4000024893,how #either A
1004391569,strip;thing #tape N
3002070188,adj #another J
1105581693,horny_structure;thing #nail N
2002122164,cause;be;feelings #hurt V
4000110533,how #indoors A
1008649345,region;thing #side N
2001966861,jump;occur #hop V
1004018667,toilet;thing #restroom N
2001201089,grate;do #chew V
2001976841,move;be #drop V
1012371439,vine;thing #kiwi N
1008798771,mandate;thing;place #Palestine N
1009482916,river;thing;place #Yukon N
1002694662,clock;thing #alarm N
1010103485,traveler;thing #foreigner N
1004183516,cleansing_agent;thing #shampoo N
1011519450,cyclone;thing #tornado N
1004306080,facility;thing;place #station N
1010694258,educator;thing;living_thing;person #teacher N
3002202307,adj #third J
1013104059,woody_plant;thing;living_thing #tree N
2002148788,demonstrate;do #show V
1007863374,dish;thing #pasta N
1005602835,feature;thing #cheek N
1013661273,monetary_unit;thing #dollar N
1015089258,nutriment;thing #vitamins N
3001919931,adj #noisy J
2001471043,seize;do #kidnap V
1004099969,chair;thing #rocking_chair N
1006966825,romance;abstract_thing #spanish N
1011690455,floral_leaf;thing #petal N
1004389033,military_vehicle;thing #tank N
1002872752,footwear;thing #boots N
1003597469,adornment;thing #jewelry N
1008679972,abstract_thing #way N
1014936010,hydroxide;thing #lime N
1005289297,contractile_organ;thing #muscles N
1009275473,continent;thing;place #Europe N
1007710616,root_vegetable;thing;food #potato N
1005578442,gliding_joint;thing #ankle N
1005584486,nail;thing #toenail N
1005254795,body_covering;thing #hair N
1005799212,experiment;thing #trial N
1009208702,minor_planet;thing #asteroid N
3002494092,adj #downstairs J
1008825664,district;thing;place #Nunavut N
1003580615,abstract_thing #internet N
1007669891,cut_of_pork;thing #ham N
3000375969,adj #green J
3001054922,adj #sour J
1002581957,percoid_fish;thing;living_thing #dolphin N
2001137138,hit;do #shoot V
1003261776,electro-acoustic_transducer;thing #headphone N
1004190052,support;thing #shelf N
1003775071,glove;thing;object #mittens N
3000372111,adj #brown J
1002822220,bedclothes;thing #spread N
1005552607,body_part;thing #chest N
3001729566,adj #quondam J
3002306874,adj #salty J
1010249950,professional;thing;living_thing;person #lawyer N
1008723006,asian_country;thing #China N
1002992211,musical_instrument;thing #cello N
1002758134,area;thing;place #auditorium N
1110435988,thrower;thing #pitcher N
1012937678,root;thing;food #carrot N
1005690269,hindrance;thing #obstruction N
1008511241,side;abstract_thing #bottom N
1008755436,country;thing #Barbados N
2000004819,act_involuntarily;occur #sneeze V
3000292937,adj #busy J
2001904930,go;do #walk V
1015196537,season;thing #yule N
1015019030,soil;thing #sand N
3001794340,adj #fancy J
2001632897,send;do #contrive V
1011852148,prickly_pear;thing #tuna N
1002726305,housing;thing #flat N
1000028651,attribute;thing #space N
1004057047,edge_tool;thing #razor N
1007834507,dressing;thing #mayonnaise N
1015164354,weekday;thing #thursday N
1003925226,picture;thing #photo N
1010541229,person;thing #ruler N
1013275847,outgo;thing #cost N
1009084750,american_state;thing #Indiana N
1003512147,heavier-than-air_craft;thing #helicopter N
1010763383,dining-room_attendant;thing;living_thing;person #waiter N
2000855295,tease;do #kid V
1011439690,physical_phenomenon;thing #cloud N
1004255034,receptacle;thing #socket N
1003824381,lingerie;thing #nightdress N
1007767847,edible_fruit;thing;food #pear N
1012641796,wood;thing;food #cherry N
3002550333,adj #rainy J
3002068476,adj #same J
1008816969,geographical_area;thing;place #Serbia N
1007679356,baked_goods;thing;food #bread N
1009538915,spiritual_being;thing #angel N
2000074834,discharge;be #bleed V
1004459362,piece_of_cloth;thing;object #towel N
2000218475,change;do #dry V
1013873502,ellipse;thing #circle N
1007675627,meat;thing;food #sausages N
1007632802,cake;thing;food #wedding_cake N
2000647094,decide;do #measure V
1104051549,inclined_plane;thing #ramp N
1002930766,car;thing;vehicle #taxi N
1003135532,structure;thing #cross N
1107273136,label;thing #tag N
3000079629,adj;feelings;appearance #scared J
1008888676,european_country;thing #Ireland N
1007927512,soft_drink;thing;beverage;liquid #soda N
2000031820,express_joy;do #laugh V
1012102133,gramineous_plant;thing #grass N
4000138611,how #probably A
1013711060,pressure_unit;thing #atmosphere N
1007858978,sweetening;thing #honey N
1007942152,group;thing #people N
1005262185,hair;thing #moustache N
1014959939,plant_fiber;thing #straw N
1009053185,american_state;thing #Alabama N
